229459.10938,,,,,,,,,,,,,,
163873.84375,162396.01563,176538.46875,178665.95313,167383.17188,192233.81250,178655.21875,178530.54688,169481.76563,,,169901.71875,128284.87500,106488.50000,157042.46875
224248.45313,206426.85938,266275.21875,177023.84375,195477.92188,234033.43750,153046.57813,152034.37500,81049.03906,,,185994.15625,99042.79688,118593.54688,102221.16406
,,,,,,,,,,,215463.37500,205349.28125,235488.45313,180423.42188
,,,,,,,,,,,160850.51563,141901.75000,207980.81250,189827.04688
220565.78125,260875.09375,312264.40625,190242.43750,163327.60938,162443.57813,313305.46875,387830.75000,186984.78125,,,339846.71875,333128.25000,274169.15625,225089.64063
,,,,238725.35938,199219.17188,188891.79688,201821.78125,219430.93750,,,194879.50000,258078.85938,175312.20313,206200.57813
,,,,,,,,,,,273981.25000,148805.96875,104971.60938,96636.71094
135479.68750,171022.28125,,,,,,,,,,,,,
180251.78125,317442.40625,209271.67188,181585.82813,,,,,,,,,,,
232510.43750,165202.28125,132985.39063,177300.07813,208434.73438,258029.89063,238087.37500,241696.29688,212294.93750,,,236192.43750,227465.96875,317072.68750,240950.62500
,,,,,,,,141295.29688,,,186667.64063,157106.43750,359086.62500,246070.64063
,,,,,,,,,,,212716.46875,192369.70313,177900.00000,173489.32813
,,,263277.18750,102608.22656,141911.50000,133537.84375,196480.82813,140405.79688,,,235089.26563,162914.59375,132484.62500,177342.18750
,,,158267.82813,147824.06250,139380.92188,141576.39063,167469.07813,185959.75000,,,,,,
242225.87500,304363.06250,206370.56250,182345.39063,241798.89063,238720.57813,413953.46875,331751.34375,246357.81250,,,468924.50000,225984.84375,248615.81250,365094.62500
384782.87500,322160.15625,475628.09375,219841.28125,282262.65625,212772.67188,240780.18750,348955.31250,289002.90625,,,177770.76563,,,
473465.31250,416513.18750,132792.76563,342017.31250,354917.34375,314469.31250,178898.17188,183617.00000,370374.31250,,,273462.28125,393458.71875,443296.09375,
228253.03125,257254.68750,288386.46875,399781.71875,420529.65625,328544.28125,366924.37500,506394.75000,450331.93750,,,,,,
